title,link,qualified
Senior Software Engineer (Backend) - Data Platform,https://www.jobstreet.co.id/id/job/senior-software-engineer-backend-data-platform-1031021205?jobId=jobstreet-id-job-1031021205&sectionRank=3851&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Be responsible for the overall solution architecture of the products/services that you will be working on', 'Code, design, prototype, perform reviews and consult in the process of building highly scalable, reliable, and fault-tolerant systems', 'As our senior technologist continuously refactor applications and architectures to maintain high-quality levels', 'Continue to stay abreast of the latest technologies in distributed systems, caching and research new technologies, tools that enable building the next generation systems', 'Act as an engineer that enjoys writing readable, concise, reusable, extensible code every day', 'Discuss, articulate requirements with product management and scope, execute the feature road map', 'Participate in team’s hiring process by being a panelist in interviews']"
Senior Associate Business Analyst,https://www.jobstreet.co.id/id/job/senior-associate-business-analyst-1030910037?jobId=jobstreet-id-job-1030910037&sectionRank=3852&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,['PT. NTT Global Data Centers Indonesia is an international standard data center service provider that is part of the NTT Ltd.’s Global Data Centers division.']
SAP FICO Functional Consultant Assc.,https://www.jobstreet.co.id/id/job/sap-fico-functional-consultant-assc.-1030970132?jobId=jobstreet-id-job-1030970132&sectionRank=3853&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Ikut serta mengevaluasi, mengidentifikasikan, dan memberikan rekomendasi mengenai kebutuhan akan aplikasi bagi pelanggan sehingga dapat memberikan solusi bisnis yang tepat. Kemudian menuliskan hasil identifikasi dan evaluasi itu ke dalam Scope of Work (SOW).', 'Melakukan serta memonitor proses implementasi sesuaidengan assignment yang diberikan oleh Project Manager. Menjadi instruktur dalam memberikan pelatihan bagi pelanggan dalam mempelajari, memahami produk dan cara mengoperasikan aplikasi.', 'Mengadakan kontak langsung dengan pelanggan untuk memberikan pemecahan terhadap permasalahan yang muncul setelah implementasi berjalan, sekaligus memberikan saran pengembangan kebutuhan baru.', 'Menjadi instruktur/pembimbing bagi pelanggan untuk mempelajari, memahami produk dan cara mengoperasikan aplikasi pada pelatihan aplikasi lanjutan', 'Memelihara dan mengembangkan application knowledge teknologi prinsipal']"
Game Programmer,https://www.jobstreet.co.id/id/job/game-programmer-1030986437?jobId=jobstreet-id-job-1030986437&sectionRank=3854&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Involve in all areas of game programming, such as game logic, graphics, artificial intelligence, user interface, and backend service.', 'Write robust code to be used by millions of users', 'Work as part of a team, but with plenty of opportunity to take responsibility on an individual level', 'Support and contribute new ideas to game design.']"
Senior Solutions Engineer,https://www.jobstreet.co.id/id/job/senior-solutions-engineer-1031005837?jobId=jobstreet-id-job-1031005837&sectionRank=3855&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Present VMware Tanzu vision, strategy and product roadmaps to executives and technical management. Capable of public speaking and presenting in front of customers, at user groups, etc.', 'Work with sales team to develop and implement account penetration strategies and drive the adoption of VMware Tanzu solutions within strategic accounts and partners throughout pre-sales and post-sales collaboration', 'Qualify sales opportunities in terms of customer technical requirements, competition, decision-making process and funding.', 'Use knowledge of competitive solutions to help the sales and field engineering teams propose the most optimal solution for customers.', 'Configure and document VMware Tanzu software, hardware and service solutions to meet customer and sales objectives.', 'Lead the completion and execution in RFxs and POxs and complete all required documentation.', 'Work collaboratively with Product Management, Technical Marketing and Engineering during the development, launch and continuing refinement of VMware Tanzu products.', 'Comfortable in new situations with new clients. Experience building distributed / service oriented / microservice-style and cloud-based architectures.', 'Travel within your assigned territory is required.', 'Conversant, with hands on experience across Kubernetes, OpenShift, Docker & Cloud Native Application development platforms.', 'Continually contributes to the knowledge in the Solutions Engineer organisation to meet current and future business needs.', 'Participate in, and contribute to sales forecast and pipeline reviews', 'Reviews account penetration strategies for critical accounts.', 'Leverages knowledge of VMware Tanzu competitive solutions to effectively position a VMware Tanzu solution and prepares the sales organisation for customer objections.', 'Drives consistency of approach and ensuring best practices are applied across in all customer opportunities.', 'Builds and maintains senior customer relationships and acts as the escalation point for major technical issues.', 'Provide feedback to R&D on Tanzu product/solution needs to meet customer requirements']"
Senior 3D Artist,https://www.jobstreet.co.id/id/job/senior-3d-artist-1031065458?jobId=jobstreet-id-job-1031065458&sectionRank=3856&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Create a high-quality game ready 3D models and their textures', 'Contribute to the development of 3D art pipeline standards & establishment of 3D art career path in the Art Department', 'Keep up with the latest tools & techniques in the 3D art domain', 'Collaborate with fellow artists, team leads, tech, and design teams to produce high-quality 3D assets & integrate them into the final playable product', 'Collaborate with fellow artists to create game ready rigs & animations', 'Coach fellow artist.']"
Senior Consultant - SAP Treasury - ID,https://www.jobstreet.co.id/id/job/senior-consultant-sap-treasury-id-1030970095?jobId=jobstreet-id-job-1030970095&sectionRank=3857&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,"['Engage clients in workshops and interviews to analyze process and reporting requirements', 'Advise clients on industry/ cross-industry leading practices. Advise clients on SAP recommended processes and functions', 'Design target state SAP solutions for clients. Influence clients’ thinking in adopting leading/ standard practices while developing target state', 'Analyze application landscape to design interfaces to SAP solution', 'Perform SAP configuration and tests. Develop specifications for development of forms/ reports/ interfaces.', 'Lead the consultant and client teams through the implementation cycle including planning and execution of testing, migration and cutover.', 'Support change management execution by developing training material, delivering training and supporting users post cutover.', 'Develop relationships with internal and external stakeholders']"
Senior Mobile Engineer iOS,https://www.jobstreet.co.id/id/job/senior-mobile-engineer-ios-1030910047?jobId=jobstreet-id-job-1030910047&sectionRank=3858&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,[]
Game Programmer,https://www.jobstreet.co.id/id/job/game-programmer-1030991729?jobId=jobstreet-id-job-1030991729&sectionRank=3859&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,[]
Product/Game Designer Intern,https://www.jobstreet.co.id/id/job/product-game-designer-intern-1030956359?jobId=jobstreet-id-job-1030956359&sectionRank=3860&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,[]
Mobile Development Engineer (Android),https://www.jobstreet.co.id/id/job/mobile-development-engineer-android-1031075222?jobId=jobstreet-id-job-1031075222&sectionRank=3861&token=0~7edc47e2-9d91-4d84-ab40-ae8fbfa7b51c&fr=SRP%20Job%20Listing,[]
Programmer,https://www.jobstreet.co.id/id/job/programmer-3826882?jobId=jobstreet-id-job-3826882&sectionRank=361&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
UI/UX DESIGNER,https://www.jobstreet.co.id/id/job/ui-ux-designer-3844568?jobId=jobstreet-id-job-3844568&sectionRank=362&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
IT Support,https://www.jobstreet.co.id/id/job/it-support-3840958?jobId=jobstreet-id-job-3840958&sectionRank=363&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
IT Security ELK,https://www.jobstreet.co.id/id/job/it-security-elk-3842603?jobId=jobstreet-id-job-3842603&sectionRank=364&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Engineering Manager,https://www.jobstreet.co.id/id/job/engineering-manager-3846638?jobId=jobstreet-id-job-3846638&sectionRank=365&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Software Engineer,https://www.jobstreet.co.id/id/job/software-engineer-3827365?jobId=jobstreet-id-job-3827365&sectionRank=366&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Information Security Management System,https://www.jobstreet.co.id/id/job/information-security-management-system-3826362?jobId=jobstreet-id-job-3826362&sectionRank=367&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
.NET Developer,https://www.jobstreet.co.id/id/job/.net-developer-3846499?jobId=jobstreet-id-job-3846499&sectionRank=368&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
IT Supervisor,https://www.jobstreet.co.id/id/job/it-supervisor-3841064?jobId=jobstreet-id-job-3841064&sectionRank=369&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Software Engineer,https://www.jobstreet.co.id/id/job/software-engineer-3844848?jobId=jobstreet-id-job-3844848&sectionRank=370&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
PHP Software Developer / Programmer,https://www.jobstreet.co.id/id/job/php-software-developer-programmer-3831668?jobId=jobstreet-id-job-3831668&sectionRank=371&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Cyber Security Specialist,https://www.jobstreet.co.id/id/job/cyber-security-specialist-3834110?jobId=jobstreet-id-job-3834110&sectionRank=372&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
DevOps Specialist (English Speaking) Bekasi,https://www.jobstreet.co.id/id/job/devops-specialist-english-speaking-bekasi-3843546?jobId=jobstreet-id-job-3843546&sectionRank=373&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Android Programmer,https://www.jobstreet.co.id/id/job/android-programmer-9449231/origin/sg?jobId=jobstreet-sg-job-9449231&sectionRank=374&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
UX Researcher,https://www.jobstreet.co.id/id/job/ux-researcher-3845805?jobId=jobstreet-id-job-3845805&sectionRank=375&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Project Management Specalist,https://www.jobstreet.co.id/id/job/project-management-specalist-3846084?jobId=jobstreet-id-job-3846084&sectionRank=376&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Senior Network Engineer,https://www.jobstreet.co.id/id/job/senior-network-engineer-3833623?jobId=jobstreet-id-job-3833623&sectionRank=377&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
JUNIOR PROGRAMMER,https://www.jobstreet.co.id/id/job/junior-programmer-3844512?jobId=jobstreet-id-job-3844512&sectionRank=378&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Programmer,https://www.jobstreet.co.id/id/job/programmer-3825446?jobId=jobstreet-id-job-3825446&sectionRank=379&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Technical Executive,https://www.jobstreet.co.id/id/job/technical-executive-9442095/origin/sg?jobId=jobstreet-sg-job-9442095&sectionRank=380&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
SOFTWARE ENGINEER,https://www.jobstreet.co.id/id/job/software-engineer-3844203?jobId=jobstreet-id-job-3844203&sectionRank=381&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
IT Audit & Data Analytics Head - Karawaci,https://www.jobstreet.co.id/id/job/it-audit-data-analytics-head-karawaci-3841860?jobId=jobstreet-id-job-3841860&sectionRank=382&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Business Intelligence Engineer,https://www.jobstreet.co.id/id/job/business-intelligence-engineer-3843319?jobId=jobstreet-id-job-3843319&sectionRank=383&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Staff IT ABAPER,https://www.jobstreet.co.id/id/job/staff-it-abaper-3841705?jobId=jobstreet-id-job-3841705&sectionRank=384&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
IT Support,https://www.jobstreet.co.id/id/job/it-support-3841138?jobId=jobstreet-id-job-3841138&sectionRank=385&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
FULL STACK DEVELOPER (RESEARCH AND DEVELOPMENT),https://www.jobstreet.co.id/id/job/full-stack-developer-research-and-development-3833423?jobId=jobstreet-id-job-3833423&sectionRank=386&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
System Administrator (Sys Admin),https://www.jobstreet.co.id/id/job/system-administrator-sys-admin-3842047?jobId=jobstreet-id-job-3842047&sectionRank=387&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Frontend Developer,https://www.jobstreet.co.id/id/job/frontend-developer-3844475?jobId=jobstreet-id-job-3844475&sectionRank=388&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
ERP Programmer,https://www.jobstreet.co.id/id/job/erp-programmer-3843520?jobId=jobstreet-id-job-3843520&sectionRank=389&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
DATA SCIENTIST UNIT HEAD,https://www.jobstreet.co.id/id/job/data-scientist-unit-head-3827295?jobId=jobstreet-id-job-3827295&sectionRank=390&token=0~1c23da33-c6f5-47b2-a278-042d457a8d14&fr=SRP%20Job%20Listing,[]
Solution Architect,https://www.jobstreet.co.id/id/job/solution-architect-4860774/origin/my?jobId=jobstreet-my-job-4860774&sectionRank=391&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['3 years of experience as Solution Architect.', 'Excellent presentation and communication skill to influence stakeholders on internal and external teams.', 'Strong experience in Go language.', 'Experience in one or more programming languages: C, C++, Java, or Python.', 'Experience with application development, APIs, integration, Middleware, networking, and Linux system administration.', 'Experience with Google Cloud Platform services and/or Amazon Web Service.', 'Experience with private, public, and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, containerization or docker, distributed systems, load balancing and networking, and security.', 'Experience in architecting and/or implementing API based solutions with hands-on.', 'familiarity with related standards such as HTTP, REST, SOAP, and OAuth.']"
IT SUPPORT,https://www.jobstreet.co.id/id/job/it-support-3839553?jobId=jobstreet-id-job-3839553&sectionRank=392&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Membuat jadwal dan melakukan pemeriksaan rutin terkait hardware, software, dan networking yang ada di perusahaan.', 'Melakukan penanganan keluhan yang diterima dari laporan pengguna komputer dan fasilitas IT lainnya (Fingerprint, CCTV, POS, Cashdrawer, printer dll).', 'Melakukan upaya pencegahan down time agar semua sistem jaringan IT berjalan sesuai dengan standar sistem manajemen mutu yang ada di departemen IT.', 'Melakukan analisa penyebab kerusakan dan tindakan perbaikan terhadap kerusakan peralatan IT.', 'Identifikasi kebutuhan peralatan yang dibutuhkan untuk pengembangan ataupun perbaikan sistem IT di perusahaan.', 'Melakukan pengembangan hardware dan networking sesuai kebutuhan pengguna untuk mendukung pekerjaan dilingkungan perusahaan.', 'Menyiapkan peralatan pendukung IT yang dibutuhkan dalam setiap kegiatan operasional perusahaan.', 'Menyediakan pelatihan internal terhadap semua pengguna teknologi dalam operasional perusahaan untuk memastikan semua berjalan dengan baik.', 'Menyampaikan laporan berkala kepada IT Dept Head terkait realisasi kegiatan yang dicapai secara komprehensif dan aktif.']"
DevOps SysAdmin,https://www.jobstreet.co.id/id/job/devops-sysadmin-3843881?jobId=jobstreet-id-job-3843881&sectionRank=393&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Experience in cloud container technologies like Docker, Kubernetes, Rancher, Openshift.', 'Experience in cloud service management like Azure/GCP/AWS.', 'Experience in environment setup and configuration on Linux, Windows, IIS.', 'Experience with at least one backend coding languages (Java, Shell Scripting, Python etc.).', 'Experience in backend infrastructure and service support (Proxy, Firewall, DNS, MQ, etc.).', 'Monitoring logs running on the servers.', 'Experience in CI/CD/Pipeline and related technologies is a plus.', 'Familiar with Agile Methodology.']"
QA Engineer,https://www.jobstreet.co.id/id/job/qa-engineer-3843905?jobId=jobstreet-id-job-3843905&sectionRank=394&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Minimum 2-3 years of working experience as QA Tester in project (real project environment and team)', 'Proven experience as a Quality Assurance Tester or similar role', 'In-depth experience in mobile apps testing (Android/iOS)', 'Experience in project management and QA methodology', 'Familiarity with Agile frameworks and regression testing is a plus', 'Ability to document and troubleshoot errors', 'Working knowledge of test management software (e.g. qTest, Zephyr, etc.) and SQL', 'Excellent communication skills', 'Attention to detail', 'Analytical mind and problem-solving aptitude', 'Strong organizational skills', 'BSc/BA in Computer Science, Engineering or a related field']"
QA Automation Engineer (Based in Bali),https://www.jobstreet.co.id/id/job/qa-automation-engineer-based-in-bali-9443802/origin/sg?jobId=jobstreet-sg-job-9443802&sectionRank=395&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Open-concept office space', 'Flexible working arrangements and casual work setting', 'Challenging work in a fun and collaborative environment']"
Network Operation Center (NOC),https://www.jobstreet.co.id/id/job/network-operation-center-noc-3842597?jobId=jobstreet-id-job-3842597&sectionRank=396&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Monitoring internet network for HO&Branch servers (internet uptime).', 'Follow up to the ISP if having problems getting connected to a network.', 'Ticketing.', 'Troubleshooting store problems & POS application problems via remote.', 'Good time management and analytical skills.', 'Excellent knowledge of Microsoft Excel.', 'Excellent client-facing communication skills.', 'Willing to work shift system 24/7']"
MOBILE APPS PROGRAMMER,https://www.jobstreet.co.id/id/job/mobile-apps-programmer-3844173?jobId=jobstreet-id-job-3844173&sectionRank=397&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Melakukan coding sesuai dengan desain software E-Retail yang telah di tetapkan dan sesuai dengan platform IOS & Android yang telah ditentukan.', 'Melakukan uji coba dan melakukan kontrol terhadap program aplikasi E-Retail']"
Blockchain Developer,https://www.jobstreet.co.id/id/job/blockchain-developer-3828291?jobId=jobstreet-id-job-3828291&sectionRank=398&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Create custom Solana smart contract (marketplace, token, staking, etc)', 'Review third party smart contract for vulnerability', 'Deploy and maintain application']"
Big Data Presales,https://www.jobstreet.co.id/id/job/big-data-presales-3827661?jobId=jobstreet-id-job-3827661&sectionRank=399&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Work closely with sales team in technical sales presentations', 'Provide design solutions based on client’s requirements', 'Provide functional and technical clarification to clients', 'Handle multiple customer engagements simultaneously', 'Understand customers’ analytic goals and challenges through successful discovery']"
IT PROGRAMMER,https://www.jobstreet.co.id/id/job/it-programmer-3825350?jobId=jobstreet-id-job-3825350&sectionRank=400&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Membuat program web secara back end sesuai dengan kebutuhan perusahaan', 'Memodifikasi dan memaintenance program secara back end sesuai dengan point of changes setelah post implementation', 'Melakukan develop program terutama pada peningkatan fungsionalitas', 'Menyelesaikan kebutuhan dari tim kerja atau direksi sesuai deadline yang ditentukan', 'Mengikuti tren teknologi / industri yang sedang berkembang dan menerapkan ke dalam operasi dan aktivitas.']"
Cognos TM1 Developer,https://www.jobstreet.co.id/id/job/cognos-tm1-developer-3843833?jobId=jobstreet-id-job-3843833&sectionRank=401&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,['Good place to learn']
IT SUPPORT STAFF,https://www.jobstreet.co.id/id/job/it-support-staff-3839153?jobId=jobstreet-id-job-3839153&sectionRank=402&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Usia maksimal 30 tahun', 'Pendidikan minimal D3 Teknik Informatika / Management Informatika', 'Memiliki pengalaman di bidang yang sama minimal 2 tahun', 'Menguasai Linux Server, Jaringan dan Mikrotik, Cpanel, Zimbra Mail', 'Menguasai Server Web', 'Bersedia bekerja di site atau remote', 'Mampu bekerja sama dengan tim', 'Bisa berbahasa Inggris lisan dan tulisan', 'Penempatan di Jakarta Pusat']"
Web Programmer,https://www.jobstreet.co.id/id/job/web-programmer-3832442?jobId=jobstreet-id-job-3832442&sectionRank=403&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['BPJS Ketenagakerjaan', 'Lingkungan kerja yang nyaman']"
BACKEND DEVELOPER UNIT HEAD,https://www.jobstreet.co.id/id/job/backend-developer-unit-head-3827293?jobId=jobstreet-id-job-3827293&sectionRank=404&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Create, integrate and manage database', 'Building software server-side with framework back end', 'Integrate cloud computing', 'Using server-side programming language', 'Manage and develop Content Management System (CMS)', 'Develop, improve, and maintain module and feature for existing application, integrate to internal and external services and interfaces.', 'Work with outside data and APIs', 'Focus on coding and debugging', 'Collaborate with Front-end developers', 'Troubleshoot and debug applications', 'Develop, design, and maintain portals that are used by internal customers and external customers', 'Prepare system solution on root cause as preventive action', 'Create all necessary program documentations', 'Prepares progress reports for all work performed', 'Research new technologies and tools']"
IT Support,https://www.jobstreet.co.id/id/job/it-support-3840016?jobId=jobstreet-id-job-3840016&sectionRank=405&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Career & Progression Opportunities', 'Dynamic & Youthful Work Culture', 'Strong Growth Market']"
IT WEB PROGRAMMER,https://www.jobstreet.co.id/id/job/it-web-programmer-3824881?jobId=jobstreet-id-job-3824881&sectionRank=406&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Mendapatkan BPJS', 'Mendapatkan Jenjang Karir', 'Mendapatkan Fasilitas']"
FRONT - END Developer,https://www.jobstreet.co.id/id/job/front-end-developer-3827660?jobId=jobstreet-id-job-3827660&sectionRank=407&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['FiberHome is the top 3 telecommunications product and solution provider in China. It is a Chinese government company and dedicated to the telecommunication industry for more 30 years. FiberHome has more than 20,000 employees with annual turnover around 2 billion US Dollar. It has been award 2010 Bloomberg Newsweek “Global Top 100 Technologies Companies” and “China Most Competitive Optical Network Manufacturer” by authoritative industry media. Two subsidiary companies of FiberHome group have been listed in China Shanghai stock-exchange and Shenzhen Stock-exchange. FiberHome’s global sales network covers more than 65 countries with 20 overseas branch offices around the world.']"
Junior / Associate BackEnd Developer (Node.JS / GoLang),https://www.jobstreet.co.id/id/job/junior-associate-backend-developer-node.js-golang-3827151?jobId=jobstreet-id-job-3827151&sectionRank=408&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Collaborate in agile software development teams', 'Building, testing, optimizing stable and great products', 'Maintain documentation, code quality and automatization environment', 'Willing to learn and adapt different technologies']"
Software Developer,https://www.jobstreet.co.id/id/job/software-developer-4901766/origin/my?jobId=jobstreet-my-job-4901766&sectionRank=409&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Bachelor’s degree holder in any IT-related field', '3+ years experience as Developer / Programmer', 'Good technical skills on Java, Unix Shell scripting and PL/SQL', 'Knowledge in SDLC', 'Good communication in English']"
Software engineer (Fresh Graduate),https://www.jobstreet.co.id/id/job/software-engineer-fresh-graduate-3842290?jobId=jobstreet-id-job-3842290&sectionRank=410&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Work with highly skilled engineers', 'Be able to learn from experts and be a great engineer!', 'Full remote work, friendly working environment']"
Operations Executive,https://www.jobstreet.co.id/id/job/operations-executive-3843034?jobId=jobstreet-id-job-3843034&sectionRank=411&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,[]
Drupal Developer,https://www.jobstreet.co.id/id/job/drupal-developer-3844069?jobId=jobstreet-id-job-3844069&sectionRank=412&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Good career growth', 'Good remuneration package', 'Interesting projects']"
Software Quality Assurance (Automation),https://www.jobstreet.co.id/id/job/software-quality-assurance-automation-3843304?jobId=jobstreet-id-job-3843304&sectionRank=413&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Personal Development', 'Flexible Working Hour (Remote)', 'Startup Knowledge and Working Culture']"
Software Engineer Trainee- Programmer/Consultant 编程/咨询培训生,https://www.jobstreet.co.id/id/job/software-engineer-trainee-programmer-consultant-%E7%BC%96%E7%A8%8B-%E5%92%A8%E8%AF%A2%E5%9F%B9%E8%AE%AD%E7%94%9F-3845173?jobId=jobstreet-id-job-3845173&sectionRank=414&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['World leading Banking Solution Provider', '13 month salary and yearly salary increment', 'Multinational working environment']"
Frontend Developer (Vue JS),https://www.jobstreet.co.id/id/job/frontend-developer-vue-js-3833236?jobId=jobstreet-id-job-3833236&sectionRank=415&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Lulusan S1 Jurusan IT', 'Memiliki pengalaman selama minimal 3 tahun sebagai frontend developer di perusahaan yang bergerak dalam bidang IT', 'Memahami HTML, CSS dan JavaScript', 'Memahami CSS Preprocessor - SAAS/SCSS', 'Memahami Responsive Web Design dan bisa menggunakan GIT - Version Control', 'Memahami dan pernah menggunakan Framework VueJS, Vuex, Vue Router', 'Pernah menggunakan UI Library seperti Vuetify atau Vue Bootstrap', 'Memahami Fetch data dari API lebih di utamakan', 'Pada saat interview mohon melampirkan Portofolio', 'Penempatan di Kantor Pusat Semarang']"
SUBJECT MATTER EXPERT (SME) IN ARTIFICIAL INTELLIGENCE,https://www.jobstreet.co.id/id/job/subject-matter-expert-sme-in-artificial-intelligence-3846463?jobId=jobstreet-id-job-3846463&sectionRank=416&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Responsible to develop a syllabus and digital content for the subject related to Artificial Intelligence, Data Science, Computer Vision, Neural Language Processing, and Reinforcement Learning', 'Develop and evaluate course learning outcomes', 'Review and do quality assurance of the content written by the content developer and make sure the contents are free from plagiarism']"
Front-End Developer (Engineer),https://www.jobstreet.co.id/id/job/front-end-developer-engineer-3834294?jobId=jobstreet-id-job-3834294&sectionRank=417&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Pendidikan minimal S1 jurusan IT / Informatika', 'Memiliki pengalaman minimal 4 Tahun sebagai Front-end Developer / Mobile Developer', 'Mahir Programming language : HTML, CSS, JavaScript', 'Menguasai Server Side CSS, React Native, React JS', 'Menguasai JS Framework dianggap sebagai nilai tambah', 'Menguasai Version Control (GIT)', 'Database : MySQL / Postgre SQL / MongoDB / Firebase', 'Familiar dengan metode Agile / Scrum dan tools collaboration']"
